split,image,word_count,named_feature_count,heuristic_quality_flags,caption_mentions_water,caption_mentions_green,caption_mentions_road,caption_has_relation,blue_ratio,green_ratio,dark_ratio,bright_low_sat_ratio,edge_mean,proxy_issues,proxy_strengths,review_severity,proxy_fidelity_score,description,vlm_alignment_score,vlm_visible_water,vlm_visible_roads,vlm_visible_green_area,vlm_visible_named_label,vlm_unsupported_claims,vlm_omissions,vlm_verdict,vlm_raw_response
MGEval,16_1253.jpg,51,2,no_direction_or_relation;generic_no_feature_claim,False,True,True,False,0.0031,0.9227,0.0,0.0778,9.806,generic_no_feature_claim_needs_visual_review;road_caption_lacks_relation,named_feature_present;water_signal_consistent;green_signal_consistent,medium,0.690,"The google map shows a location marked as ""Caldwell Sash Company"" situated along Scottsville Road. The road appears to run diagonally across the map. The surrounding area is shaded in green, indicating a likely rural or undeveloped region. There are no additional geographic entities or landmarks visible on this map section.",,,,,,,,error,JSONDecodeError: Expecting value: line 1 column 1 (char 0)
MGEval,16_1783.jpg,50,1,no_direction_or_relation,True,True,True,False,0.0341,0.0162,0.0,0.9405,8.469,green_mention_low_green_signal;road_caption_lacks_relation,named_feature_present;water_signal_consistent,medium,0.690,"The google map shows a section of Lapping Park Disc Golf Course, located near Milner Way. A blue water feature is visible to the southwest of the course, indicating a body of water or stream. The map highlights the spatial relationship between the disc golf course and the nearby road.",,,,,,,,error,JSONDecodeError: Expecting value: line 1 column 1 (char 0)
MGEval,16_2568.jpg,43,1,no_direction_or_relation;generic_no_feature_claim,False,True,False,False,0.0415,0.9378,0.0,0.0016,5.262,possible_water_omission;generic_no_feature_claim_needs_visual_review,named_feature_present;green_signal_consistent,medium,0.690,"The google map shows a section of a waterway labeled ""Curry Fork."" The waterway curves through the area, surrounded by a light green background, which typically represents land. There are no additional geographic entities or labels visible in this section of the map.",,,,,,,,error,JSONDecodeError: Expecting value: line 1 column 1 (char 0)
MGEval,16_2764.jpg,57,0,no_named_feature,False,False,True,True,0.0879,0.8344,0.0,0.0393,11.825,possible_water_omission;possible_green_omission,spatial_relation_present,medium,0.690,"The google map shows a section of Interstate 265, which runs vertically through the center. There are two parallel lanes indicating the highway. A hotel, Fairfield Inn & Suites Louisville, is marked to the northeast of the highway. There are some smaller roads visible in the top left corner. The map is oriented with north at the top.",,,,,,,,error,JSONDecodeError: Expecting value: line 1 column 1 (char 0)
MGEval,16_2977.jpg,43,1,no_direction_or_relation;generic_no_feature_claim,False,True,False,False,0.0591,0.9128,0.0,0.0,5.725,possible_water_omission;generic_no_feature_claim_needs_visual_review,named_feature_present;green_signal_consistent,medium,0.690,"The google map shows a section of a waterway labeled ""Floyds Fork."" The waterway is depicted in blue, winding through a light green area, which likely represents land. The map focuses on the course of the waterway without additional geographic features or labels.",,,,,,,,error,JSONDecodeError: Expecting value: line 1 column 1 (char 0)
MGEval,16_221.jpg,54,1,generic_no_feature_claim,False,True,True,True,0.0402,0.9041,0.0,0.052,8.285,possible_water_omission;generic_no_feature_claim_needs_visual_review,named_feature_present;spatial_relation_present;green_signal_consistent,medium,0.740,"The google map shows a section of a road labeled with the number 60 running vertically. To the right, there is another road labeled Bennettsville Rd, which intersects with the main road. The area surrounding the roads is shaded in green, indicating land or vegetation. There are no additional geographic features or labels visible.",,,,,,,,error,JSONDecodeError: Expecting value: line 1 column 1 (char 0)
MGEval,16_3150.jpg,54,2,generic_no_feature_claim,False,True,True,True,0.0476,0.9071,0.0,0.0316,8.384,possible_water_omission;generic_no_feature_claim_needs_visual_review,named_feature_present;spatial_relation_present;green_signal_consistent,medium,0.740,"The google map shows a section of a road labeled ""335"" running vertically. To the left of the road, there is a marker for ""Albertsons Mobile Mechanic."" The surrounding area is shaded in green, indicating a possible rural or undeveloped region. There are no additional geographic features or entities labeled on this map segment.",,,,,,,,error,JSONDecodeError: Expecting value: line 1 column 1 (char 0)
MGEval,16_3260.jpg,54,1,generic_no_feature_claim,False,True,False,True,0.0465,0.9294,0.0,0.0,5.639,possible_water_omission;generic_no_feature_claim_needs_visual_review,named_feature_present;spatial_relation_present;green_signal_consistent,medium,0.740,"The google map shows a section of a waterway labeled ""Floyds Fork."" The waterway runs vertically through the map, with a slight bend and branching towards the bottom right. The surrounding area is depicted in a light green color, indicating land. There are no additional geographic entities or labels visible on this map section.",,,,,,,,error,JSONDecodeError: Expecting value: line 1 column 1 (char 0)
MGEval,16_1008.jpg,57,5,no_direction_or_relation,True,False,True,False,0.0052,0.0,0.0,0.9784,12.151,road_caption_lacks_relation,named_feature_present;green_signal_consistent,medium,0.870,"The google map shows a small area with several roads and a labeled location. ""Pleasantview Ct"" is a curved road connecting to ""Chapel Creek Trail,"" which runs vertically. Another road intersects these, leading to the ""Kingdom Hall of Jehovah's Witnesses,"" marked with an icon. The roads form a small network in a residential or community area.",,,,,,,,error,JSONDecodeError: Expecting value: line 1 column 1 (char 0)
MGEval,16_1284.jpg,61,3,no_direction_or_relation,True,True,True,False,0.0608,0.0659,0.0,0.8627,8.661,road_caption_lacks_relation,named_feature_present;water_signal_consistent,medium,0.870,"The google map shows a location labeled ""Cooper Lane Quarry"" with a nearby body of water to the northeast. Another location, ""Ernst Concrete,"" is situated to the southeast of the quarry. A linear feature, possibly a road or boundary, runs diagonally from the southwest to the northeast. The area surrounding these features is mostly light-colored, indicating open or undeveloped land.",,,,,,,,error,JSONDecodeError: Expecting value: line 1 column 1 (char 0)
