split,image,word_count,named_feature_count,heuristic_quality_flags,caption_mentions_water,caption_mentions_green,caption_mentions_road,caption_has_relation,blue_ratio,green_ratio,dark_ratio,bright_low_sat_ratio,edge_mean,proxy_issues,proxy_strengths,review_severity,proxy_fidelity_score,description,vlm_alignment_score,vlm_visible_water,vlm_visible_roads,vlm_visible_green_area,vlm_visible_named_label,vlm_unsupported_claims,vlm_omissions,vlm_verdict,vlm_raw_response
MGEval,16_1253.jpg,51,2,no_direction_or_relation;generic_no_feature_claim,False,True,True,False,0.0031,0.9227,0.0,0.0778,9.806,generic_no_feature_claim_needs_visual_review;road_caption_lacks_relation,named_feature_present;water_signal_consistent;green_signal_consistent,medium,0.690,"The google map shows a location marked as ""Caldwell Sash Company"" situated along Scottsville Road. The road appears to run diagonally across the map. The surrounding area is shaded in green, indicating a likely rural or undeveloped region. There are no additional geographic entities or landmarks visible on this map section.",0.700,False,True,True,True,There are no additional geographic entities or landmarks visible on this map section,,partly_supported,"{
  ""alignment_score"": 0.7,
  ""visible_water"": false,
  ""visible_roads"": true,
  ""visible_green_area"": true,
  ""visible_named_label"": true,
  ""caption_unsupported_claims"": [
    ""There are no additional geographic entities or landmarks visible on this map section""
  ],
  ""caption_omissions"": [],
  ""verdict"": ""partly_supported""
}"
MGEval,16_1783.jpg,50,1,no_direction_or_relation,True,True,True,False,0.0341,0.0162,0.0,0.9405,8.469,green_mention_low_green_signal;road_caption_lacks_relation,named_feature_present;water_signal_consistent,medium,0.690,"The google map shows a section of Lapping Park Disc Golf Course, located near Milner Way. A blue water feature is visible to the southwest of the course, indicating a body of water or stream. The map highlights the spatial relationship between the disc golf course and the nearby road.",,,,,,,,error,timeout: timed out
MGEval,16_2568.jpg,43,1,no_direction_or_relation;generic_no_feature_claim,False,True,False,False,0.0415,0.9378,0.0,0.0016,5.262,possible_water_omission;generic_no_feature_claim_needs_visual_review,named_feature_present;green_signal_consistent,medium,0.690,"The google map shows a section of a waterway labeled ""Curry Fork."" The waterway curves through the area, surrounded by a light green background, which typically represents land. There are no additional geographic entities or labels visible in this section of the map.",,,,,,,,error,JSONDecodeError: Expecting value: line 1 column 1 (char 0)
MGEval,16_2764.jpg,57,0,no_named_feature,False,False,True,True,0.0879,0.8344,0.0,0.0393,11.825,possible_water_omission;possible_green_omission,spatial_relation_present,medium,0.690,"The google map shows a section of Interstate 265, which runs vertically through the center. There are two parallel lanes indicating the highway. A hotel, Fairfield Inn & Suites Louisville, is marked to the northeast of the highway. There are some smaller roads visible in the top left corner. The map is oriented with north at the top.",,,,,,,,error,JSONDecodeError: Expecting value: line 1 column 1 (char 0)
MGEval,16_2977.jpg,43,1,no_direction_or_relation;generic_no_feature_claim,False,True,False,False,0.0591,0.9128,0.0,0.0,5.725,possible_water_omission;generic_no_feature_claim_needs_visual_review,named_feature_present;green_signal_consistent,medium,0.690,"The google map shows a section of a waterway labeled ""Floyds Fork."" The waterway is depicted in blue, winding through a light green area, which likely represents land. The map focuses on the course of the waterway without additional geographic features or labels.",,,,,,,,error,JSONDecodeError: Expecting value: line 1 column 1 (char 0)
MapTrain,16_373.jpg,46,2,no_direction_or_relation;generic_no_feature_claim,False,False,True,False,0.0095,0.4052,0.0,0.5568,11.901,possible_green_omission;generic_no_feature_claim_needs_visual_review;road_caption_lacks_relation,named_feature_present,high,0.510,"The google map shows a section of Adelphia-Farmingdale Road, which runs horizontally across the image. There is a marked location for ""Our House Restaurant and Banquet Facility"" near the road. The surrounding area includes some roads and open spaces, with no additional geographic entities labeled.",,,,,,,,error,JSONDecodeError: Expecting value: line 1 column 1 (char 0)
MapTrain,16_601.jpg,45,0,no_named_feature;no_direction_or_relation,False,True,True,False,0.0671,0.9035,0.0001,0.0229,8.74,possible_water_omission;road_caption_lacks_relation,green_signal_consistent,medium,0.640,"The google map shows a section of the Robert T. Monagan Freeway, which runs horizontally across the image. There is a thin, light blue line intersecting the freeway, possibly indicating a waterway or road. The background is a light green, suggesting a general land area.",,,,,,,,error,JSONDecodeError: Expecting value: line 1 column 1 (char 0)
MapTrain,16_202.jpg,44,2,no_direction_or_relation;generic_no_feature_claim,False,True,False,False,0.0271,0.9611,0.0,0.0,5.676,possible_water_omission;generic_no_feature_claim_needs_visual_review,named_feature_present;green_signal_consistent,medium,0.690,"The google map shows a light green area with a blue line labeled ""Sunken Branch,"" indicating a waterway. The waterway has a few curves and branches off into smaller streams. The surrounding area appears to be relatively flat, with no additional geographic features marked.",,,,,,,,error,JSONDecodeError: Expecting value: line 1 column 1 (char 0)
MapTrain,16_23.jpg,43,2,no_direction_or_relation;generic_no_feature_claim,False,True,True,False,0.0307,0.9485,0.0,0.0204,5.221,possible_water_omission;generic_no_feature_claim_needs_visual_review,named_feature_present;green_signal_consistent,medium,0.690,"The google map shows a section of ""Hill Rd"" running horizontally. A blue line, likely representing a waterway, runs parallel and slightly above the road. The background is light green, indicating a land area. There are no additional geographic entities or labels visible.",,,,,,,,error,JSONDecodeError: Expecting value: line 1 column 1 (char 0)
MapTrain,16_348.jpg,34,1,no_direction_or_relation;generic_no_feature_claim,False,False,False,False,0.0411,0.007,0.0,0.9537,7.5,possible_water_omission;generic_no_feature_claim_needs_visual_review,named_feature_present;green_signal_consistent,medium,0.690,"The google map shows a location labeled ""Corkum Tree Farm."" There are light blue lines indicating roads or pathways surrounding the area. The map is minimalistic, with no additional geographic features or landmarks visible.",,,,,,,,error,JSONDecodeError: Expecting value: line 1 column 1 (char 0)
