split,image,model,embedding_score,proxy_fidelity_score,review_severity,description
MGEval,16_1253.jpg,openai/clip-vit-base-patch32,0.339288,0.690,medium,"The google map shows a location marked as ""Caldwell Sash Company"" situated along Scottsville Road. The road appears to run diagonally across the map. The surrounding area is shaded in green, indicating a likely rural or undeveloped region. There are no additional geographic entities or landmarks visible on this map section."
MGEval,16_2274.jpg,openai/clip-vit-base-patch32,0.291983,1.000,low,"The google map shows a section of the border between Indiana and Kentucky. A dashed line indicates the boundary separating the two states. The area is predominantly blue, suggesting a water body, with light green landmasses on either side of the border."
MGEval,16_240.jpg,openai/clip-vit-base-patch32,0.341277,0.870,medium,"The google map shows a section of a road network with two labeled roads: Rake Rd and Dow Knob Rd. Rake Rd runs horizontally, intersecting with Dow Knob Rd, which curves and runs vertically. The background is a light green, indicating a possible rural or undeveloped area. There are no additional geographic entities or landmarks visible."
MGEval,16_2568.jpg,openai/clip-vit-base-patch32,0.323546,0.690,medium,"The google map shows a section of a waterway labeled ""Curry Fork."" The waterway curves through the area, surrounded by a light green background, which typically represents land. There are no additional geographic entities or labels visible in this section of the map."
MGEval,16_2977.jpg,openai/clip-vit-base-patch32,0.397301,0.690,medium,"The google map shows a section of a waterway labeled ""Floyds Fork."" The waterway is depicted in blue, winding through a light green area, which likely represents land. The map focuses on the course of the waterway without additional geographic features or labels."
MGEval,16_474.jpg,openai/clip-vit-base-patch32,0.323779,0.870,medium,"The google map shows a light green area with a blue line running horizontally, indicating a waterway. Below the waterway, there is a gray line labeled ""Serenity Oaks Dr,"" representing a road. The map is simple, with no additional geographic entities or landmarks visible."
MGEval,16_74.jpg,openai/clip-vit-base-patch32,0.310228,0.870,medium,"The google map shows a section of a waterway labeled ""Silver Creek."" The creek flows in a generally curved path across a light green background, which likely represents land. There are no additional geographic entities or features labeled on this map segment."
MGEval,16_980.jpg,openai/clip-vit-base-patch32,0.322404,0.870,medium,"The google map shows an intersection of two roads: Navilleton Road, which runs vertically, and Reasor Road, which runs horizontally. The surrounding area appears to be a light green, indicating open land or rural space. There are no additional geographic features or labels visible on this section of the map."
MGEval,16_1008.jpg,openai/clip-vit-base-patch32,0.348627,0.870,medium,"The google map shows a small area with several roads and a labeled location. ""Pleasantview Ct"" is a curved road connecting to ""Chapel Creek Trail,"" which runs vertically. Another road intersects these, leading to the ""Kingdom Hall of Jehovah's Witnesses,"" marked with an icon. The roads form a small network in a residential or community area."
MGEval,16_1200.jpg,openai/clip-vit-base-patch32,0.302662,0.920,medium,"The google map shows a section of a road network. Jacobs Way runs horizontally across the map, intersecting with 5th Street, which runs vertically. There is a tree icon located near the bottom left, indicating a point of interest such as a park or forested area. The roads appear to be in a rural or suburban setting, with no additional geographic entities or labels visible."
MGEval,16_1284.jpg,openai/clip-vit-base-patch32,0.349808,0.870,medium,"The google map shows a location labeled ""Cooper Lane Quarry"" with a nearby body of water to the northeast. Another location, ""Ernst Concrete,"" is situated to the southeast of the quarry. A linear feature, possibly a road or boundary, runs diagonally from the southwest to the northeast. The area surrounding these features is mostly light-colored, indicating open or undeveloped land."
MGEval,16_1359.jpg,openai/clip-vit-base-patch32,0.285806,1.000,low,"The google map shows a section of Bald Knob Road, which curves through the area. There is a location marked as ""Stark Properties"" along this road. The surrounding area is green, indicating vegetation or open land, and there is a small blue shape suggesting a body of water nearby."
MGEval,16_1783.jpg,openai/clip-vit-base-patch32,0.331311,0.690,medium,"The google map shows a section of Lapping Park Disc Golf Course, located near Milner Way. A blue water feature is visible to the southwest of the course, indicating a body of water or stream. The map highlights the spatial relationship between the disc golf course and the nearby road."
MGEval,16_1874.jpg,openai/clip-vit-base-patch32,0.344883,0.870,medium,"The google map shows a network of roads labeled Doe Creek Dr and Doe Ridge Dr. Doe Creek Dr runs vertically and intersects with Doe Ridge Dr, which runs horizontally. There are several smaller roads branching off from these main roads, forming loops and cul-de-sacs. The background is a light green color, indicating a possible residential or rural area."
MGEval,16_198.jpg,openai/clip-vit-base-patch32,0.304882,1.000,low,"The google map shows two roads, Star Valley Way and Rake Rd, intersecting in a predominantly green area, which may indicate vegetation or parkland. The roads are depicted in gray, with Star Valley Way running vertically and Rake Rd intersecting it horizontally. The area below Rake Rd is a different color, suggesting a change in land use or terrain."
MGEval,16_2057.jpg,openai/clip-vit-base-patch32,0.353755,0.870,medium,"The google map shows a small residential area with several roads. Perrin Place and Perrin Circle are connected to Perrin, which curves through the area. Breeze Hill Road intersects with Perrin and curves around, connecting to Jones Trace. The area is surrounded by green space, indicating possible parks or undeveloped land."
MGEval,16_221.jpg,openai/clip-vit-base-patch32,0.302549,0.740,medium,"The google map shows a section of a road labeled with the number 60 running vertically. To the right, there is another road labeled Bennettsville Rd, which intersects with the main road. The area surrounding the roads is shaded in green, indicating land or vegetation. There are no additional geographic features or labels visible."
MGEval,16_2319.jpg,openai/clip-vit-base-patch32,0.291123,0.870,medium,"The google map shows a small area with several roads. Lincoln Trail intersects with Commonwealth Drive. Heritage Court is a short road connecting to Lincoln Trail. R.P. Services is marked at the intersection of Commonwealth Drive and another unnamed road. The surrounding area appears to be lightly developed, with some green space indicating possible parks or undeveloped land."
MGEval,16_2358.jpg,openai/clip-vit-base-patch32,0.367578,0.870,medium,"The google map shows a section of a road network. Lawrence Banet Road runs horizontally and vertically, forming a curve. Masters Drive branches off Lawrence Banet Road, forming a loop. The area is surrounded by a green background, indicating open space or undeveloped land."
MGEval,16_2623.jpg,openai/clip-vit-base-patch32,0.355197,1.000,low,"The google map shows a location labeled ""CK Lawn & Landscaping."" The area surrounding this point is predominantly green, indicating a large expanse of land, possibly a park or forested area. There are no visible roads or other geographic entities marked nearby."
MGEval,16_2764.jpg,openai/clip-vit-base-patch32,0.330262,0.690,medium,"The google map shows a section of Interstate 265, which runs vertically through the center. There are two parallel lanes indicating the highway. A hotel, Fairfield Inn & Suites Louisville, is marked to the northeast of the highway. There are some smaller roads visible in the top left corner. The map is oriented with north at the top."
MGEval,16_2838.jpg,openai/clip-vit-base-patch32,0.309843,0.870,medium,"The google map shows a road network with a labeled location, ""Wakefield Electric,"" situated at an intersection. The roads are marked, with one labeled as ""1408."" There are two small bodies of water visible, one near the intersection and another to the southwest. The surrounding area is depicted in green, indicating open or undeveloped land."
MGEval,16_3001.jpg,openai/clip-vit-base-patch32,0.399191,0.870,medium,"The google map shows a location labeled ""Jacob Mark Kennels"" situated along Hannah Road. The road runs vertically through the map. There is a small body of water located to the southwest of the kennels. The surrounding area appears to be green, indicating a rural or undeveloped region."
MGEval,16_3012.jpg,openai/clip-vit-base-patch32,0.371808,1.000,low,"The google map shows two roads: Dickson Dr NE and Pioneer Trail NE. Dickson Dr NE curves and intersects with Pioneer Trail NE, which runs vertically. The area surrounding the roads is shaded green, indicating a natural or undeveloped area."
MGEval,16_3078.jpg,openai/clip-vit-base-patch32,0.322699,1.000,low,"The google map shows a section of the Ohio River, which is depicted in blue. Adjacent to the river is a road labeled ""River Rd,"" running parallel to the riverbank. The area surrounding the road is shown in light green, indicating land."
MGEval,16_3150.jpg,openai/clip-vit-base-patch32,0.303388,0.740,medium,"The google map shows a section of a road labeled ""335"" running vertically. To the left of the road, there is a marker for ""Albertsons Mobile Mechanic."" The surrounding area is shaded in green, indicating a possible rural or undeveloped region. There are no additional geographic features or entities labeled on this map segment."
MGEval,16_3260.jpg,openai/clip-vit-base-patch32,0.316360,0.740,medium,"The google map shows a section of a waterway labeled ""Floyds Fork."" The waterway runs vertically through the map, with a slight bend and branching towards the bottom right. The surrounding area is depicted in a light green color, indicating land. There are no additional geographic entities or labels visible on this map section."
MGEval,16_327.jpg,openai/clip-vit-base-patch32,0.323901,1.000,low,"The google map shows a section of a road network. St John Road runs horizontally across the top of the map. Louis Smith Road intersects with St John Road and extends downward, splitting into two branches. The roads are depicted in a light gray color against a beige background. There are no additional geographic features or labels visible."
MGEval,16_3287.jpg,openai/clip-vit-base-patch32,0.399569,0.870,medium,"The google map shows a location labeled ""Mason's Blueberry Hill,"" which is marked as temporarily closed. It is situated along a road named Hannah Rd. There are small water bodies or streams visible nearby, and the surrounding area appears to be green, indicating vegetation or open land."
MGEval,16_3358.jpg,openai/clip-vit-base-patch32,0.376190,1.000,low,"The google map shows a section of the Ohio River, labeled in blue. Adjacent to the river is an area labeled ""River Side,"" which is marked with a tree icon, possibly indicating a park or recreational area. The map features a light green area representing land next to the river."
