split,row_index,image,description,word_count,named_feature_count,generic_no_feature_claim,image_exists,width,height,mode,bytes,mentions_road,mentions_intersection,mentions_water,mentions_green_area,mentions_building_poi,mentions_label,mentions_direction,heuristic_quality_flags
MapTrain,0,16_1.jpg,"The google map shows a section of Long Mill Road, which runs diagonally from the top left to the bottom right. Another road, Old Mill Road, intersects with Long Mill Road from the bottom right. The background is green, indicating a likely rural or undeveloped area. There is an icon indicating a school or educational facility near the top left of the map.",63,3,False,True,1024,1024,RGB,40843,True,False,False,True,True,False,True,
MapTrain,1,16_100.jpg,"The google map shows a section of Hunsicker Road, which runs diagonally from the top left to the bottom right. There are a few intersecting roads, with one visible at the bottom left corner. The surrounding area is shaded in light green, indicating open or undeveloped land.",47,1,False,True,1024,1024,RGB,32326,True,True,False,True,False,False,True,
MapTrain,2,16_1000.jpg,"The google map shows a section of Andrade Road, which appears to intersect with itself or another road. The roads are depicted in light gray against a beige background, indicating a simple road network without additional geographic features or landmarks.",40,1,True,True,1024,1024,RGB,36662,True,True,False,False,False,False,False,generic_no_feature_claim
MapTrain,3,16_102.jpg,"The google map shows a section of a road labeled ""3011"" running horizontally. The Wissahickon Ski Club is marked along this road. A smaller road, Brook Ln, intersects or runs parallel to the main road. A blue line, likely representing a waterway, is visible near Brook Ln. There is a green area at the bottom, possibly indicating a park or forested region.",62,3,False,True,1024,1024,RGB,58803,True,False,False,True,False,True,True,
MapTrain,4,16_103.jpg,"The google map shows a section of Krewstown Road, which runs alongside a river. There is a green area labeled ""Krewstown,"" indicating a park or natural area. A business named ""MINImotorsales"" is located nearby. The river curves around the road, and the surrounding area is predominantly green, suggesting a natural or park-like setting.",54,3,False,True,1024,1024,RGB,77751,True,False,True,True,True,True,False,no_direction_or_relation
MapTrain,5,16_104.jpg,"The google map shows two intersecting roads: Durham Road, running horizontally, and New Hope Road, running vertically. The surrounding area is shaded in light green, indicating open or undeveloped land. The roads intersect at a right angle.",37,2,False,True,1024,1024,RGB,44779,True,True,False,True,False,False,True,
MapTrain,6,16_105.jpg,"The google map shows a waterway area with two labeled roads, W Basin Dr and E Basin Dr, running parallel to each other. Between these roads is the Neshaminy State Marina. To the southeast, there is the Neshaminy State Park Ramp. The surrounding area is primarily water, with some land visible near the roads and facilities.",56,2,False,True,1024,1024,RGB,80022,True,False,True,True,False,True,False,no_direction_or_relation
MapTrain,7,16_106.jpg,"The google map shows a section of the border between Pennsylvania and New Jersey. The border is represented by a dashed line running diagonally across a blue area, which likely indicates a body of water. The land is depicted in light green on the left side of the map.",49,0,False,True,1024,1024,RGB,42739,False,False,True,True,False,False,True,no_named_feature
MapTrain,8,16_107.jpg,"The google map shows a section of Doylestown, featuring several roads and businesses. Route 611 runs vertically through the map, intersecting with Duane Road. Old Easton Road is parallel to Route 611. Neshaminy Creek flows diagonally across the map. Notable locations include ""Miles City Vape & Smoke Shop,"" ""Metro Self Storage - Doylestown,"" and ""Party Scene Events.""",55,5,False,True,1024,1024,RGB,121098,True,False,True,False,False,False,False,no_direction_or_relation
MapTrain,9,16_108.jpg,"The google map shows a small area with several streets and landmarks. Warren Way is a curved road that intersects with Latham Ln. Neck Rd is located to the northeast. B. Bernice Young Elementary School is situated near Neck Rd. ProTrappers is marked near the intersection of Warren Way and Neck Rd. There is a green area to the south, indicating a park or open space.",66,5,False,True,1024,1024,RGB,84612,True,False,False,True,True,False,True,
